payment_id,customer_id,amount,currency,payment_method,failure_code,failure_message,attempt_number,customer_segment,created_at,is_recovered,recovered_amount,split,dataset_seed
pay_000049,cus_00354,4999,INR,netbanking,expired_card,Expired card,2,subscription,2026-02-26T12:09:00Z,true,4999,development,20260822
pay_000050,cus_00135,50000,INR,netbanking,bank_timeout,Bank timeout,1,new_customer,2026-06-17T19:32:00Z,false,0,development,20260822
pay_000051,cus_00388,7500,INR,wallet,technical_error,Unknown technical error,1,business_customer,2026-06-19T06:02:00Z,false,0,development,20260822
pay_000052,cus_00360,1499,INR,card,bank_timeout,Bank timeout,1,business_customer,2026-04-25T22:50:00Z,true,1499,development,20260822
pay_000053,cus_00404,50000,INR,card,authentication_failure,Authentication failure,3,subscription,2026-03-31T04:34:00Z,false,0,development,20260822
pay_000054,cus_00277,499,INR,upi,suspected_fraud,Suspected fraud,1,business_customer,2026-04-10T10:57:00Z,false,0,development,20260822
pay_000055,cus_00239,12000,INR,wallet,bank_timeout,Bank timeout,2,business_customer,2026-01-21T03:17:00Z,true,12000,development,20260822
pay_000056,cus_00149,1999,INR,card,invalid_account,Invalid account,1,new_customer,2026-02-26T04:12:00Z,false,0,development,20260822
pay_000057,cus_00237,499,INR,netbanking,invalid_account,Invalid account,1,new_customer,2026-06-14T15:03:00Z,false,0,development,20260822
pay_000058,cus_00255,999,INR,wallet,technical_error,Unknown technical error,2,business_customer,2026-04-19T07:05:00Z,false,0,development,20260822
pay_000059,cus_00260,4999,INR,card,technical_error,Unknown technical error,2,returning_customer,2026-05-21T06:33:00Z,false,0,development,20260822
pay_000060,cus_00013,1999,INR,card,technical_error,Unknown technical error,2,business_customer,2026-01-16T17:55:00Z,true,1999,development,20260822
pay_000061,cus_00393,50000,INR,wallet,authentication_failure,Authentication failure,2,new_customer,2026-03-14T23:25:00Z,false,0,development,20260822
pay_000062,cus_00156,2999,INR,wallet,insufficient_funds,Insufficient funds,2,returning_customer,2026-04-03T08:51:00Z,false,0,development,20260822
pay_000063,cus_00353,2999,INR,card,suspected_fraud,Suspected fraud,1,returning_customer,2026-03-25T20:07:00Z,false,0,development,20260822
pay_000064,cus_00354,1999,INR,wallet,bank_timeout,Bank timeout,1,subscription,2026-01-19T00:45:00Z,true,1999,development,20260822
pay_000065,cus_00295,2999,INR,netbanking,technical_error,Unknown technical error,1,new_customer,2026-04-01T01:37:00Z,true,2999,development,20260822
pay_000066,cus_00339,7500,INR,upi,insufficient_funds,Insufficient funds,1,new_customer,2026-02-25T16:22:00Z,true,7500,development,20260822
pay_000067,cus_00336,799,INR,upi,suspected_fraud,Suspected fraud,1,business_customer,2026-01-21T04:39:00Z,false,0,development,20260822
pay_000068,cus_00346,12000,INR,wallet,authentication_failure,Authentication failure,2,new_customer,2026-03-23T09:28:00Z,false,0,development,20260822
pay_000069,cus_00048,999,INR,wallet,insufficient_funds,Insufficient funds,1,returning_customer,2026-06-01T21:08:00Z,false,0,development,20260822
pay_000070,cus_00003,1999,INR,wallet,bank_timeout,Bank timeout,1,subscription,2026-06-02T21:21:00Z,false,0,development,20260822
pay_000071,cus_00104,499,INR,upi,authentication_failure,Authentication failure,3,subscription,2026-04-14T23:10:00Z,false,0,development,20260822
pay_000072,cus_00039,25000,INR,netbanking,technical_error,Unknown technical error,1,business_customer,2026-04-02T00:54:00Z,true,25000,development,20260822
pay_000073,cus_00014,7500,INR,wallet,expired_card,Expired card,1,new_customer,2026-04-28T00:15:00Z,true,7500,development,20260822
pay_000074,cus_00366,499,INR,upi,suspected_fraud,Suspected fraud,1,business_customer,2026-01-07T13:12:00Z,false,0,development,20260822
pay_000075,cus_00063,1999,INR,netbanking,technical_error,Unknown technical error,1,returning_customer,2026-03-02T15:42:00Z,true,1999,development,20260822
pay_000076,cus_00330,7500,INR,wallet,authentication_failure,Authentication failure,1,subscription,2026-03-31T04:33:00Z,false,0,development,20260822
pay_000077,cus_00237,7500,INR,netbanking,authentication_failure,Authentication failure,1,business_customer,2026-04-16T21:44:00Z,false,0,development,20260822
pay_000078,cus_00279,2999,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-05-19T12:24:00Z,false,0,development,20260822
pay_000079,cus_00336,1999,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-03-31T12:21:00Z,false,0,development,20260822
pay_000080,cus_00275,499,INR,card,bank_timeout,Bank timeout,1,returning_customer,2026-01-13T08:36:00Z,true,499,development,20260822
pay_000081,cus_00219,999,INR,upi,daily_limit_exceeded,Daily limit exceeded,4,returning_customer,2026-01-20T04:12:00Z,false,0,development,20260822
pay_000082,cus_00207,25000,INR,upi,technical_error,Unknown technical error,2,new_customer,2026-04-29T14:51:00Z,true,25000,development,20260822
pay_000083,cus_00249,7500,INR,wallet,invalid_account,Invalid account,1,returning_customer,2026-04-30T10:38:00Z,false,0,development,20260822
pay_000084,cus_00235,1499,INR,wallet,insufficient_funds,Insufficient funds,1,subscription,2026-04-19T14:50:00Z,false,0,development,20260822
pay_000085,cus_00163,12000,INR,card,insufficient_funds,Insufficient funds,1,new_customer,2026-05-30T12:53:00Z,false,0,development,20260822
pay_000086,cus_00056,25000,INR,upi,technical_error,Unknown technical error,1,business_customer,2026-05-25T16:49:00Z,false,0,development,20260822
pay_000087,cus_00275,1499,INR,card,expired_card,Expired card,3,business_customer,2026-05-04T23:24:00Z,false,0,development,20260822
pay_000088,cus_00349,999,INR,wallet,insufficient_funds,Insufficient funds,3,subscription,2026-05-05T00:16:00Z,false,0,development,20260822
pay_000089,cus_00282,4999,INR,wallet,invalid_account,Invalid account,2,subscription,2026-01-19T22:33:00Z,false,0,development,20260822
pay_000090,cus_00103,12000,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-05-28T12:42:00Z,true,12000,development,20260822
pay_000091,cus_00212,12000,INR,netbanking,invalid_account,Invalid account,1,returning_customer,2026-03-16T05:08:00Z,false,0,development,20260822
pay_000092,cus_00242,799,INR,wallet,expired_card,Expired card,3,new_customer,2026-05-09T19:39:00Z,true,799,development,20260822
pay_000093,cus_00357,25000,INR,wallet,daily_limit_exceeded,Daily limit exceeded,3,new_customer,2026-03-21T08:24:00Z,true,25000,development,20260822
pay_000094,cus_00044,12000,INR,card,technical_error,Unknown technical error,1,business_customer,2026-03-13T22:29:00Z,true,12000,development,20260822
pay_000095,cus_00316,12000,INR,card,authentication_failure,Authentication failure,1,new_customer,2026-01-12T12:25:00Z,true,12000,development,20260822
pay_000096,cus_00214,12000,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-04-25T04:08:00Z,true,12000,development,20260822
pay_000097,cus_00050,2999,INR,card,insufficient_funds,Insufficient funds,1,returning_customer,2026-05-10T02:43:00Z,false,0,development,20260822
pay_000098,cus_00109,1999,INR,wallet,authentication_failure,Authentication failure,1,subscription,2026-02-14T20:53:00Z,true,1999,development,20260822
pay_000099,cus_00169,12000,INR,netbanking,suspected_fraud,Suspected fraud,3,returning_customer,2026-06-08T14:21:00Z,false,0,development,20260822
pay_000100,cus_00341,4999,INR,wallet,insufficient_funds,Insufficient funds,2,new_customer,2026-02-08T04:34:00Z,true,4999,development,20260822
pay_000101,cus_00180,499,INR,wallet,technical_error,Unknown technical error,1,new_customer,2026-04-24T21:15:00Z,true,499,development,20260822
pay_000102,cus_00199,2999,INR,upi,invalid_account,Invalid account,2,subscription,2026-04-06T16:59:00Z,false,0,development,20260822
pay_000103,cus_00130,7500,INR,wallet,authentication_failure,Authentication failure,1,new_customer,2026-04-23T09:15:00Z,true,7500,development,20260822
pay_000104,cus_00239,7500,INR,card,insufficient_funds,Insufficient funds,1,subscription,2026-02-15T07:40:00Z,true,7500,development,20260822
pay_000105,cus_00219,2999,INR,wallet,bank_timeout,Bank timeout,1,returning_customer,2026-03-08T19:39:00Z,true,2999,development,20260822
pay_000106,cus_00099,499,INR,netbanking,technical_error,Unknown technical error,3,business_customer,2026-02-21T16:49:00Z,true,499,development,20260822
pay_000107,cus_00077,7500,INR,netbanking,bank_timeout,Bank timeout,1,new_customer,2026-06-28T10:31:00Z,true,7500,development,20260822
pay_000108,cus_00388,999,INR,netbanking,expired_card,Expired card,1,subscription,2026-04-22T02:26:00Z,true,999,development,20260822
pay_000109,cus_00376,2999,INR,card,bank_timeout,Bank timeout,1,new_customer,2026-01-29T05:52:00Z,true,2999,development,20260822
pay_000110,cus_00181,499,INR,upi,bank_timeout,Bank timeout,3,new_customer,2026-06-23T21:36:00Z,true,499,development,20260822
pay_000111,cus_00137,7500,INR,netbanking,suspected_fraud,Suspected fraud,1,new_customer,2026-05-06T06:34:00Z,false,0,development,20260822
pay_000112,cus_00328,4999,INR,wallet,suspected_fraud,Suspected fraud,2,subscription,2026-06-21T08:20:00Z,false,0,development,20260822
pay_000113,cus_00148,50000,INR,upi,insufficient_funds,Insufficient funds,1,new_customer,2026-02-18T03:35:00Z,false,0,development,20260822
pay_000114,cus_00294,999,INR,netbanking,technical_error,Unknown technical error,2,new_customer,2026-05-21T02:12:00Z,true,999,development,20260822
pay_000115,cus_00099,1999,INR,wallet,invalid_account,Invalid account,2,new_customer,2026-06-27T04:04:00Z,false,0,development,20260822
pay_000116,cus_00386,1999,INR,wallet,expired_card,Expired card,1,subscription,2026-05-26T06:03:00Z,true,1999,development,20260822
pay_000117,cus_00151,25000,INR,card,authentication_failure,Authentication failure,1,new_customer,2026-03-24T11:28:00Z,true,25000,development,20260822
pay_000118,cus_00320,799,INR,card,technical_error,Unknown technical error,2,returning_customer,2026-06-14T21:46:00Z,true,799,development,20260822
pay_000119,cus_00300,7500,INR,upi,technical_error,Unknown technical error,1,new_customer,2026-01-16T16:34:00Z,true,7500,development,20260822
pay_000120,cus_00186,2999,INR,card,technical_error,Unknown technical error,1,returning_customer,2026-05-11T22:38:00Z,true,2999,development,20260822
pay_000121,cus_00051,499,INR,card,authentication_failure,Authentication failure,2,subscription,2026-06-19T22:10:00Z,false,0,development,20260822
pay_000122,cus_00399,12000,INR,upi,insufficient_funds,Insufficient funds,3,returning_customer,2026-01-04T10:07:00Z,false,0,development,20260822
pay_000123,cus_00377,799,INR,netbanking,bank_timeout,Bank timeout,1,returning_customer,2026-02-22T15:41:00Z,true,799,development,20260822
pay_000124,cus_00083,499,INR,card,invalid_account,Invalid account,2,subscription,2026-03-05T08:58:00Z,false,0,development,20260822
pay_000125,cus_00182,7500,INR,netbanking,technical_error,Unknown technical error,3,new_customer,2026-01-31T09:04:00Z,false,0,development,20260822
pay_000126,cus_00366,50000,INR,upi,expired_card,Expired card,1,new_customer,2026-01-06T15:47:00Z,true,50000,development,20260822
pay_000127,cus_00222,2999,INR,card,insufficient_funds,Insufficient funds,1,subscription,2026-05-20T06:57:00Z,false,0,development,20260822
pay_000128,cus_00261,25000,INR,wallet,suspected_fraud,Suspected fraud,1,subscription,2026-04-02T09:28:00Z,false,0,development,20260822
pay_000129,cus_00379,2999,INR,wallet,bank_timeout,Bank timeout,3,new_customer,2026-03-19T00:22:00Z,false,0,development,20260822
pay_000130,cus_00291,1499,INR,wallet,bank_timeout,Bank timeout,1,business_customer,2026-03-24T04:37:00Z,true,1499,development,20260822
pay_000131,cus_00274,25000,INR,wallet,bank_timeout,Bank timeout,1,business_customer,2026-06-12T09:56:00Z,false,0,development,20260822
pay_000132,cus_00339,7500,INR,wallet,bank_timeout,Bank timeout,1,subscription,2026-03-14T17:21:00Z,true,7500,development,20260822
pay_000133,cus_00075,4999,INR,upi,expired_card,Expired card,4,new_customer,2026-01-10T07:55:00Z,false,0,development,20260822
pay_000134,cus_00215,799,INR,wallet,bank_timeout,Bank timeout,1,subscription,2026-03-03T05:08:00Z,false,0,development,20260822
pay_000135,cus_00069,2999,INR,card,insufficient_funds,Insufficient funds,2,returning_customer,2026-02-13T07:12:00Z,true,2999,development,20260822
pay_000136,cus_00381,7500,INR,wallet,invalid_account,Invalid account,2,subscription,2026-04-06T04:28:00Z,false,0,development,20260822
pay_000137,cus_00390,1999,INR,upi,technical_error,Unknown technical error,1,business_customer,2026-03-03T11:40:00Z,true,1999,development,20260822
pay_000138,cus_00214,12000,INR,upi,insufficient_funds,Insufficient funds,1,new_customer,2026-05-14T14:27:00Z,false,0,development,20260822
pay_000139,cus_00381,4999,INR,netbanking,bank_timeout,Bank timeout,1,subscription,2026-01-22T11:18:00Z,false,0,development,20260822
pay_000140,cus_00377,1499,INR,wallet,insufficient_funds,Insufficient funds,3,business_customer,2026-02-23T10:13:00Z,false,0,development,20260822
pay_000141,cus_00378,50000,INR,card,technical_error,Unknown technical error,1,new_customer,2026-03-22T05:58:00Z,true,50000,development,20260822
pay_000142,cus_00273,7500,INR,upi,insufficient_funds,Insufficient funds,2,subscription,2026-03-05T23:04:00Z,false,0,development,20260822
pay_000143,cus_00064,25000,INR,card,expired_card,Expired card,1,subscription,2026-04-28T19:44:00Z,true,25000,development,20260822
pay_000144,cus_00119,12000,INR,upi,expired_card,Expired card,1,returning_customer,2026-01-30T02:17:00Z,true,12000,development,20260822
pay_000145,cus_00362,4999,INR,netbanking,technical_error,Unknown technical error,1,new_customer,2026-01-26T22:04:00Z,true,4999,development,20260822
pay_000146,cus_00408,1499,INR,upi,expired_card,Expired card,4,business_customer,2026-04-20T09:47:00Z,true,1499,development,20260822
pay_000147,cus_00226,1499,INR,card,expired_card,Expired card,2,business_customer,2026-05-05T03:42:00Z,true,1499,development,20260822
pay_000148,cus_00063,1999,INR,upi,bank_timeout,Bank timeout,4,business_customer,2026-03-01T22:08:00Z,true,1999,development,20260822
pay_000149,cus_00039,999,INR,wallet,bank_timeout,Bank timeout,1,new_customer,2026-01-08T01:20:00Z,true,999,development,20260822
pay_000150,cus_00414,799,INR,wallet,technical_error,Unknown technical error,1,subscription,2026-02-12T16:00:00Z,false,0,development,20260822
pay_000151,cus_00082,1499,INR,netbanking,insufficient_funds,Insufficient funds,1,returning_customer,2026-01-18T03:28:00Z,true,1499,development,20260822
pay_000152,cus_00077,1499,INR,upi,expired_card,Expired card,2,subscription,2026-06-03T04:27:00Z,true,1499,development,20260822
pay_000153,cus_00291,1499,INR,netbanking,insufficient_funds,Insufficient funds,1,subscription,2026-05-01T12:23:00Z,true,1499,development,20260822
pay_000154,cus_00197,499,INR,wallet,insufficient_funds,Insufficient funds,4,business_customer,2026-02-05T18:45:00Z,false,0,development,20260822
pay_000155,cus_00380,2999,INR,netbanking,suspected_fraud,Suspected fraud,1,subscription,2026-03-31T16:50:00Z,false,0,development,20260822
pay_000156,cus_00312,4999,INR,netbanking,authentication_failure,Authentication failure,1,new_customer,2026-01-30T01:10:00Z,true,4999,development,20260822
pay_000157,cus_00029,1999,INR,card,authentication_failure,Authentication failure,1,business_customer,2026-02-07T16:42:00Z,false,0,development,20260822
pay_000158,cus_00301,12000,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-01-08T03:46:00Z,true,12000,development,20260822
pay_000159,cus_00359,2999,INR,netbanking,bank_timeout,Bank timeout,1,subscription,2026-02-23T10:45:00Z,false,0,development,20260822
pay_000160,cus_00180,25000,INR,wallet,authentication_failure,Authentication failure,2,new_customer,2026-01-25T22:30:00Z,false,0,development,20260822
pay_000161,cus_00166,2999,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-04-28T18:25:00Z,false,0,development,20260822
pay_000162,cus_00315,799,INR,card,insufficient_funds,Insufficient funds,2,new_customer,2026-05-10T22:36:00Z,false,0,development,20260822
pay_000163,cus_00312,999,INR,card,technical_error,Unknown technical error,1,new_customer,2026-04-10T13:48:00Z,false,0,development,20260822
pay_000164,cus_00412,50000,INR,wallet,insufficient_funds,Insufficient funds,2,new_customer,2026-06-15T12:56:00Z,false,0,development,20260822
pay_000165,cus_00010,1999,INR,wallet,bank_timeout,Bank timeout,2,subscription,2026-05-10T17:42:00Z,true,1999,development,20260822
pay_000166,cus_00238,1499,INR,upi,invalid_account,Invalid account,2,returning_customer,2026-04-28T19:44:00Z,false,0,development,20260822
pay_000167,cus_00017,1999,INR,upi,expired_card,Expired card,1,returning_customer,2026-01-31T22:44:00Z,true,1999,development,20260822
pay_000168,cus_00311,1499,INR,upi,bank_timeout,Bank timeout,2,subscription,2026-03-26T05:11:00Z,false,0,development,20260822
pay_000169,cus_00321,499,INR,netbanking,suspected_fraud,Suspected fraud,1,new_customer,2026-05-26T14:37:00Z,false,0,development,20260822
pay_000170,cus_00204,499,INR,netbanking,insufficient_funds,Insufficient funds,1,subscription,2026-04-27T20:49:00Z,false,0,development,20260822
pay_000171,cus_00116,1499,INR,card,insufficient_funds,Insufficient funds,1,subscription,2026-02-07T05:11:00Z,false,0,development,20260822
pay_000172,cus_00198,1999,INR,card,invalid_account,Invalid account,1,business_customer,2026-01-10T19:55:00Z,false,0,development,20260822
pay_000173,cus_00065,799,INR,netbanking,insufficient_funds,Insufficient funds,1,subscription,2026-01-16T17:30:00Z,false,0,development,20260822
pay_000174,cus_00109,4999,INR,wallet,insufficient_funds,Insufficient funds,1,returning_customer,2026-04-20T01:51:00Z,true,4999,development,20260822
pay_000175,cus_00311,7500,INR,upi,authentication_failure,Authentication failure,1,business_customer,2026-06-02T05:30:00Z,false,0,development,20260822
pay_000176,cus_00318,1999,INR,card,technical_error,Unknown technical error,3,returning_customer,2026-04-19T18:18:00Z,false,0,development,20260822
pay_000177,cus_00085,1999,INR,netbanking,authentication_failure,Authentication failure,2,returning_customer,2026-01-17T23:41:00Z,true,1999,development,20260822
pay_000178,cus_00090,1499,INR,wallet,bank_timeout,Bank timeout,1,new_customer,2026-01-19T02:54:00Z,true,1499,development,20260822
pay_000179,cus_00397,1499,INR,card,daily_limit_exceeded,Daily limit exceeded,1,business_customer,2026-02-07T01:13:00Z,true,1499,development,20260822
pay_000180,cus_00337,1999,INR,upi,technical_error,Unknown technical error,2,business_customer,2026-06-14T20:34:00Z,true,1999,development,20260822
pay_000181,cus_00105,4999,INR,card,authentication_failure,Authentication failure,1,new_customer,2026-06-02T12:10:00Z,true,4999,development,20260822
pay_000182,cus_00134,1499,INR,card,technical_error,Unknown technical error,3,business_customer,2026-05-28T23:05:00Z,false,0,development,20260822
pay_000183,cus_00321,50000,INR,netbanking,technical_error,Unknown technical error,3,business_customer,2026-06-11T08:32:00Z,true,50000,development,20260822
pay_000184,cus_00257,499,INR,netbanking,daily_limit_exceeded,Daily limit exceeded,2,returning_customer,2026-01-01T22:57:00Z,false,0,development,20260822
pay_000185,cus_00221,799,INR,card,bank_timeout,Bank timeout,3,returning_customer,2026-04-05T02:52:00Z,true,799,development,20260822
pay_000186,cus_00071,25000,INR,card,invalid_account,Invalid account,1,returning_customer,2026-01-23T21:18:00Z,false,0,development,20260822
pay_000187,cus_00178,1999,INR,wallet,technical_error,Unknown technical error,1,returning_customer,2026-06-19T09:47:00Z,true,1999,development,20260822
pay_000188,cus_00069,50000,INR,card,technical_error,Unknown technical error,1,subscription,2026-06-09T21:29:00Z,true,50000,development,20260822
pay_000189,cus_00339,1499,INR,netbanking,insufficient_funds,Insufficient funds,1,business_customer,2026-03-12T12:40:00Z,false,0,development,20260822
pay_000190,cus_00252,12000,INR,netbanking,bank_timeout,Bank timeout,1,subscription,2026-06-14T20:25:00Z,true,12000,development,20260822
pay_000191,cus_00068,12000,INR,wallet,daily_limit_exceeded,Daily limit exceeded,1,returning_customer,2026-03-01T03:26:00Z,false,0,development,20260822
pay_000192,cus_00092,7500,INR,upi,suspected_fraud,Suspected fraud,1,subscription,2026-05-28T08:59:00Z,false,0,development,20260822
pay_000193,cus_00046,50000,INR,upi,insufficient_funds,Insufficient funds,2,new_customer,2026-06-09T00:52:00Z,true,50000,development,20260822
pay_000194,cus_00019,25000,INR,netbanking,insufficient_funds,Insufficient funds,1,returning_customer,2026-01-05T21:45:00Z,true,25000,development,20260822
pay_000195,cus_00254,1999,INR,wallet,insufficient_funds,Insufficient funds,1,new_customer,2026-02-28T09:37:00Z,false,0,development,20260822
pay_000196,cus_00077,1499,INR,upi,bank_timeout,Bank timeout,1,business_customer,2026-06-11T14:53:00Z,true,1499,development,20260822
pay_000197,cus_00397,499,INR,upi,insufficient_funds,Insufficient funds,2,new_customer,2026-01-06T13:55:00Z,true,499,development,20260822
pay_000198,cus_00048,2999,INR,card,suspected_fraud,Suspected fraud,3,returning_customer,2026-06-10T21:26:00Z,false,0,development,20260822
pay_000199,cus_00204,2999,INR,card,expired_card,Expired card,2,subscription,2026-03-26T00:17:00Z,true,2999,development,20260822
pay_000200,cus_00067,25000,INR,wallet,daily_limit_exceeded,Daily limit exceeded,1,subscription,2026-05-25T21:11:00Z,false,0,development,20260822
pay_000201,cus_00396,799,INR,netbanking,bank_timeout,Bank timeout,2,subscription,2026-05-13T18:21:00Z,false,0,development,20260822
pay_000202,cus_00375,2999,INR,wallet,technical_error,Unknown technical error,2,business_customer,2026-03-12T03:39:00Z,true,2999,development,20260822
pay_000203,cus_00152,799,INR,wallet,insufficient_funds,Insufficient funds,1,returning_customer,2026-03-23T21:25:00Z,false,0,development,20260822
